canonical_task_id,roles,harness,model,variant,job_id,trial_name,resolved,total_tokens,cost_usd,duration_seconds,archive_member,trace_path,status,compressed_bytes,uncompressed_bytes,sha256,error
astropy__astropy-12907,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-12907__mLQqAHP,True,67233,,145,run/astropy__astropy-12907__mLQqAHP/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-12907__mLQqAHP/trajectory.json.gz,existing,8460,40408,8bdb0a8e78956213b49831ea82b6e8613b9a7d9e91bf2ffe51056d7092b5c6af,
astropy__astropy-13579,token,claude-code,subconscious/glm-5.2,claude-code | subconscious/glm-5.2 | e2b | python,1970c693b4a5,astropy__astropy-13579__0396be3,True,268407,,706.4,run/astropy__astropy-13579__0396be3/agent/trajectory.json,swebench-verified-winning-traces/1970c693b4a5/astropy__astropy-13579__0396be3/trajectory.json.gz,downloaded,8778,34053,04066d953db3c784fdc7a55b9c5488741dd14bb76a40fcd13c3b354c6e810b3f,
astropy__astropy-13579,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-13579__QZ2jByH,True,3928525,0.7251,721,run/astropy__astropy-13579__QZ2jByH/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-13579__QZ2jByH/trajectory.json.gz,downloaded,48019,277921,7f8647d0b4c17970d9e318fc6eb25b2a0e1618f6d0a98aab2e7eae6719e22c9d,
astropy__astropy-13977,token; time,codex,subconscious/glm-5.2,codex | subconscious/glm-5.2 | e2b | python,a68304ea3a4a,astropy__astropy-13977__34d7b17,True,1067643,,660.7,run/astropy__astropy-13977__34d7b17/agent/trajectory.json,swebench-verified-winning-traces/a68304ea3a4a/astropy__astropy-13977__34d7b17/trajectory.json.gz,downloaded,40058,202539,d5ad09f9351a1b18c8cae8fcf8538b3642523a9805a8fd2791d412c0563d8d38,
astropy__astropy-14096,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14096__sxoHP85,True,106464,,242.6,run/astropy__astropy-14096__sxoHP85/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14096__sxoHP85/trajectory.json.gz,existing,8715,41266,8f59f72a081b25806a946e94569e85253fcbcf93357f146b2c672997fa434ea2,
astropy__astropy-14096,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14096__ba75297,True,139597,,149.4,run/astropy__astropy-14096__ba75297/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14096__ba75297/trajectory.json.gz,downloaded,7848,44929,a991c2e00de6306f417df8fb22ebad13160d94b8818afaad2b469dac3cb67da7,
astropy__astropy-14096,cost,mini-swe-agent,openai/subconscious/tim-qwen3.6-27b,mini-swe-agent | openai/subconscious/tim-qwen3.6-27b | e2b | python,7685d364d232,astropy__astropy-14096__8d8bad3,True,167102,0.0474,1791,run/astropy__astropy-14096__8d8bad3/agent/trajectory.json,swebench-verified-winning-traces/7685d364d232/astropy__astropy-14096__8d8bad3/trajectory.json.gz,downloaded,10338,54248,739ca1fa455c03e056ae9506fa9b47b16bd8f3bde39f17a3055e987270a1bfd0,
astropy__astropy-14182,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14182__2e0b9c1,True,340705,,211.7,run/astropy__astropy-14182__2e0b9c1/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14182__2e0b9c1/trajectory.json.gz,downloaded,17060,91377,c7f02285f8369edc8041c1e6c163b119f9b73372cff4c7bd7f1fb0918a19cd15,
astropy__astropy-14182,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-14182__dLf4sVX,True,2251527,0.4051,518.5,run/astropy__astropy-14182__dLf4sVX/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-14182__dLf4sVX/trajectory.json.gz,downloaded,33583,226208,0d7b002fcce9d4db8570ebfa48c9c2411736aeaba2f1e5b9edf67933cd789198,
astropy__astropy-14309,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14309__jy37joH,True,26515,,77.4,run/astropy__astropy-14309__jy37joH/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14309__jy37joH/trajectory.json.gz,existing,4734,18844,d9e21c13054ba6da40e6eba68a94c4dcdbb410334121c11dc932605e3f9da818,
astropy__astropy-14309,cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,1ca7fbb59d90,astropy__astropy-14309__4pUDt3c,True,175055,0.025,626.5,run/astropy__astropy-14309__4pUDt3c/agent/trajectory.json,swebench-verified-winning-traces/1ca7fbb59d90/astropy__astropy-14309__4pUDt3c/trajectory.json.gz,downloaded,11286,66806,5b66562396d2bc330c1f33e1f68a263506002dbf6761831653ade76acd402012,
astropy__astropy-14365,time,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,75919ad94f7b,astropy__astropy-14365__Hadx3w3,True,1275767,0.2111,396.4,run/astropy__astropy-14365__Hadx3w3/agent/trajectory.json,swebench-verified-winning-traces/75919ad94f7b/astropy__astropy-14365__Hadx3w3/trajectory.json.gz,downloaded,33097,202905,3fb9e85983bde3a0a9e4275893e84442f8070e63859d707b7c76257e4aea1db6,
astropy__astropy-14365,token; cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,e611e638d5df,astropy__astropy-14365__5ZDMKcT,True,266549,0.0606,806.4,run/astropy__astropy-14365__5ZDMKcT/agent/trajectory.json,swebench-verified-winning-traces/e611e638d5df/astropy__astropy-14365__5ZDMKcT/trajectory.json.gz,downloaded,17862,91846,d140b172a08b22621d2fe0a12e3cda7036f02dbc26934b11c4d88acc5c25d6cb,
astropy__astropy-14508,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14508__39789bc,True,94456,,120.2,run/astropy__astropy-14508__39789bc/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14508__39789bc/trajectory.json.gz,downloaded,6950,39727,4cabed7c5674b7920aad8229a487226d828bac2ffad2488b2d24dd7cc7f372ec,
astropy__astropy-14508,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-14508__ssvjncn,True,1069509,0.2169,524.1,run/astropy__astropy-14508__ssvjncn/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-14508__ssvjncn/trajectory.json.gz,downloaded,23011,155836,03af503ff3c75c15296e62c76e1e35b031c97415843c21b2dbf2ba968bd4a266,
astropy__astropy-14539,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-14539__632ed04,True,135744,,93.5,run/astropy__astropy-14539__632ed04/agent/trajectory.json,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-14539__632ed04/trajectory.json.gz,downloaded,9785,53799,4b51c66ac1e1a9edb326b8a73531d1a87306db1892b8994597aaf272f54ebd85,
astropy__astropy-14539,cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,2d7c8a6540ff,astropy__astropy-14539__nY5TE2Y,True,254963,0.056,324.6,run/astropy__astropy-14539__nY5TE2Y/agent/trajectory.json,swebench-verified-winning-traces/2d7c8a6540ff/astropy__astropy-14539__nY5TE2Y/trajectory.json.gz,downloaded,15486,95223,4b730efc8815d51b16eae1775eb26b9a7e59fb9aa8a07cc7fba8f39d9f0e07bd,
astropy__astropy-14598,token; time,codex,subconscious/glm-5.2,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,astropy__astropy-14598__wD3Y4gV,True,1425497,,949.5,run/astropy__astropy-14598__wD3Y4gV/agent/trajectory.json,swebench-verified-winning-traces/b1a03feecef5/astropy__astropy-14598__wD3Y4gV/trajectory.json.gz,downloaded,24289,144895,c61280345d20f9cebdc683dbbd93a3286b32be63a3daa58dad20b34459a99203,
astropy__astropy-14995,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14995__m5wBdEP,True,98208,,145,run/astropy__astropy-14995__m5wBdEP/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14995__m5wBdEP/trajectory.json.gz,existing,13995,59454,764ecd5608944ee6b397a63fda635bf2bc2098e1c6c3e319b5d8f31f0d9486d2,
astropy__astropy-14995,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14995__e051a6b,True,197845,,138.5,run/astropy__astropy-14995__e051a6b/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14995__e051a6b/trajectory.json.gz,downloaded,15787,73041,04980b073459fe883bd87aa038bffbc381b7a50e365e5958ef111a85f5c1c940,
astropy__astropy-14995,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-14995__KvAPTMd,True,1112023,0.2012,284.5,run/astropy__astropy-14995__KvAPTMd/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-14995__KvAPTMd/trajectory.json.gz,downloaded,23263,160805,a0e1d34d88ede958ffdbcb06e8eb5d84f091cd47386e3a9b4cb01a564107493c,
astropy__astropy-7166,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-7166__6cdc9a2,True,54975,,58.3,run/astropy__astropy-7166__6cdc9a2/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-7166__6cdc9a2/trajectory.json.gz,downloaded,5070,30114,3c9d61fea759ea9abf381e7d068a10677b4faf362aaf5bf3b048fa73c1e082da,
astropy__astropy-7166,cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,f69b852a3a31,astropy__astropy-7166__j8tpfzt,True,117101,0.0306,346.5,run/astropy__astropy-7166__j8tpfzt/agent/trajectory.json,swebench-verified-winning-traces/f69b852a3a31/astropy__astropy-7166__j8tpfzt/trajectory.json.gz,downloaded,11913,68398,c00ff35652ef59ab1f5dce6c05f90751a6ebd822653591d118f1c568120f491d,
astropy__astropy-7336,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-7336__a7d5589,True,106971,,42,run/astropy__astropy-7336__a7d5589/agent/trajectory.json,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-7336__a7d5589/trajectory.json.gz,downloaded,9521,50224,1dc52d255fc180752d3cfa4bd2b7d8a09a7c333a20b11e2b46ec72357c3668cd,
astropy__astropy-7336,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-7336__5e22bac,True,59102,,85,run/astropy__astropy-7336__5e22bac/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-7336__5e22bac/trajectory.json.gz,downloaded,7253,33832,5c66cce12a0b62c6259f76a95904e64db3fd51fb392b5b08a38f736e5bbbf530,
astropy__astropy-7336,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-7336__EEV2Vse,True,305224,0.0602,149.2,run/astropy__astropy-7336__EEV2Vse/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-7336__EEV2Vse/trajectory.json.gz,downloaded,15093,82892,512f1d794590f4dd2fe1685b52a00a0e9509ca12a640ca5c718e4cca7ace0794,
astropy__astropy-7671,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-7671__mjcv6Gn,True,257641,,219.3,run/astropy__astropy-7671__mjcv6Gn/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-7671__mjcv6Gn/trajectory.json.gz,existing,12489,71778,992c3f0d9a695cd1913e7efc36a9931ae8f0fd07ce126c4dce53921283083870,
astropy__astropy-7671,time,claude-code,subconscious/glm-5.2,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,astropy__astropy-7671__c3bviV6,True,567369,1.9453,159.9,run/astropy__astropy-7671__c3bviV6/agent/trajectory.json,swebench-verified-winning-traces/1d4355e54894/astropy__astropy-7671__c3bviV6/trajectory.json.gz,downloaded,19585,139894,a8b1a99a97c465f223b2306da2f8d4788a30889d94fb770a3075eb7ed3a03b39,
astropy__astropy-7671,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-7671__FD9ZSB5,True,553041,0.1191,179.9,run/astropy__astropy-7671__FD9ZSB5/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-7671__FD9ZSB5/trajectory.json.gz,downloaded,19687,109486,e2a9bbe704bf75b8d08749b7cfd157cb6df4ba9464cae253a809f280ba7311b7,
astropy__astropy-8707,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-8707__f2c742e,True,381435,,84.5,run/astropy__astropy-8707__f2c742e/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-8707__f2c742e/trajectory.json.gz,downloaded,35740,153444,4c089cb2ad2827e6a1681dc94d3d295282b461cf25bc5a3d8b60ca010ac1899c,
astropy__astropy-8707,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-8707__nE7jUn8,True,880118,0.1625,414.9,run/astropy__astropy-8707__nE7jUn8/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-8707__nE7jUn8/trajectory.json.gz,downloaded,26939,156394,33ffe57907eed4a5441d94e646ca54fec32c18b2d7bb0d0a23c58951687645d9,
astropy__astropy-8872,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-8872__gY7Vjmj,True,176482,,123.2,run/astropy__astropy-8872__gY7Vjmj/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-8872__gY7Vjmj/trajectory.json.gz,existing,14254,66828,77a9aea261715bd3122a2658c34f20a9e13418ebb560c625a48e58773c39561e,
astropy__astropy-8872,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-8872__c5PXQGN,True,399036,0.085,223.9,run/astropy__astropy-8872__c5PXQGN/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-8872__c5PXQGN/trajectory.json.gz,downloaded,14438,84587,bf3640b25a1b3c2702f5605152ab1a801dc932c476ab7c61791f2090dc684a98,
django__django-10554,cost,claude-code,subconscious/glm-5.2,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-10554__Bih2zzb,True,11193725,47.0128,1266.8,run/django__django-10554__Bih2zzb/agent/trajectory.json,swebench-verified-winning-traces/1d4355e54894/django__django-10554__Bih2zzb/trajectory.json.gz,downloaded,126930,1192189,97d4d69e9cb69b58f65d2ef311600a1f2cfa2fc8669247d5eeaf0fb1a6bda288,
django__django-10554,token,codex,subconscious/glm-5.2,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,django__django-10554__DaTcdZf,True,3413290,,816.5,run/django__django-10554__DaTcdZf/agent/trajectory.json,swebench-verified-winning-traces/b1a03feecef5/django__django-10554__DaTcdZf/trajectory.json.gz,downloaded,45666,257270,3f6b904704089927ae43e2e66aa496ca057b51bed3598fab999e31be25393f4e,
django__django-10554,time,opencode,subconscious/glm-5.2,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,django__django-10554__Q8AR9uq,True,3718174,,548.4,run/django__django-10554__Q8AR9uq/agent/trajectory.json,swebench-verified-winning-traces/c57b386851fd/django__django-10554__Q8AR9uq/trajectory.json.gz,downloaded,84319,368453,6986506db8825755ef272a909c9129bd19f1bbdec6e462701fc391a51d752c75,
django__django-10880,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-10880__780ee11,True,72343,,55.1,run/django__django-10880__780ee11/agent/trajectory.json,swebench-verified-winning-traces/187f0c30fc5f/django__django-10880__780ee11/trajectory.json.gz,downloaded,7222,37093,1bb392aea45020d098f6263c2252f4ccf55ecb689dda2b76ac54c62acb66eec3,
django__django-10880,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-10880__ApJRSVp,True,828850,0.154,322.4,run/django__django-10880__ApJRSVp/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/django__django-10880__ApJRSVp/trajectory.json.gz,downloaded,22538,137761,dc7a71ec1d6d3ba4949d116ac7367b28416ca2ebd3f55389ef89dca126099746,
django__django-10914,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-10914__fPGZqgE,True,139071,,95.7,run/django__django-10914__fPGZqgE/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/django__django-10914__fPGZqgE/trajectory.json.gz,existing,10303,64604,a3edfcb52e34734c11a82cde960073756062879aed8fa581defa7595a323fba2,
django__django-10914,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-10914__d9688d8,True,194385,,82.3,run/django__django-10914__d9688d8/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/django__django-10914__d9688d8/trajectory.json.gz,downloaded,15002,82310,314f74a6642415849f468a75fb5a7268142d5ecd9155e9a352ff09d2cdb7b2c4,
django__django-10914,cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,864828db70f4,django__django-10914__fXnVa5C,True,476864,0.0867,312,run/django__django-10914__fXnVa5C/agent/trajectory.json,swebench-verified-winning-traces/864828db70f4/django__django-10914__fXnVa5C/trajectory.json.gz,downloaded,20956,124025,f743c53af58c0f526d547874dda21390f1a2354f7bca5f9d4e7d772bb76c70d5,
django__django-10973,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-10973__c75aa40,True,113168,,69.5,run/django__django-10973__c75aa40/agent/trajectory.json,swebench-verified-winning-traces/187f0c30fc5f/django__django-10973__c75aa40/trajectory.json.gz,downloaded,8585,52873,eaf2ce048254338130731cf00e5d2b08e41e7d1763611505a2f2a00fa311b347,
django__django-10973,cost,claude-code,subconscious/glm-5.2,claude-code | subconscious/glm-5.2 | daytona | python,63ca9a349e63,django__django-10973__c9c96ko,True,384433,0.2817,453.3,run/django__django-10973__c9c96ko/agent/trajectory.json,swebench-verified-winning-traces/63ca9a349e63/django__django-10973__c9c96ko/trajectory.json.gz,downloaded,14963,162106,882bf2497418949360ab4da2c3dc1e4c032be960b1013c14e714beb6194fb380,
django__django-10999,token; time,opencode,subconscious/glm-5.2,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,django__django-10999__eKZzbsb,True,1453796,,448.9,run/django__django-10999__eKZzbsb/agent/trajectory.json,swebench-verified-winning-traces/c57b386851fd/django__django-10999__eKZzbsb/trajectory.json.gz,downloaded,50581,246018,6d31b78eea0da57c0538b6c2851ef0cdd93e8b1975b87f4ec74fed0feaf73349,
django__django-10999,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-10999__FpffdWc,True,1775144,0.3757,663.8,run/django__django-10999__FpffdWc/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/django__django-10999__FpffdWc/trajectory.json.gz,downloaded,22584,148197,61cd5b6b2979f77f61719e43da46a6fcf41e1dd8ddd19dcbb6921c9a8cb10501,
django__django-11066,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-11066__bd18ede,True,59489,,34,run/django__django-11066__bd18ede/agent/trajectory.json,swebench-verified-winning-traces/187f0c30fc5f/django__django-11066__bd18ede/trajectory.json.gz,downloaded,6806,34128,54213086f0cc183fb21a22fca8a25db103e58f1cd1c732613235458378e0a84a,
django__django-11066,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11066__d82c129,True,13996,,53.2,run/django__django-11066__d82c129/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/django__django-11066__d82c129/trajectory.json.gz,downloaded,4070,14878,da4c97354974028105f152227a78ce535cbdebf98a18b43f244eb06a3f0a0fdf,
django__django-11066,cost,mini-swe-agent,subconscious/glm-5.2,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-11066__Z3oEZ5a,True,854984,0.1817,283.7,run/django__django-11066__Z3oEZ5a/agent/trajectory.json,swebench-verified-winning-traces/d2cf5ec25625/django__django-11066__Z3oEZ5a/trajectory.json.gz,downloaded,21446,144588,28066ca6957b235ab525691870753880de6faa5fac49fa27299a99e0c72041a1,
django__django-11087,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-11087__KabZBgQ,True,633237,,433.6,run/django__django-11087__KabZBgQ/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/django__django-11087__KabZBgQ/trajectory.json.gz,existing,25105,122069,80f98a2facfc097191936d6985e465760c8e4ec1a1e59545dbde70ed08652030,
