canonical_task_id,harnesses_tried,deduplicated_attempts,graded_attempts,successful_attempts,accuracy_winner_harnesses,accuracy_winner_samples,lowest_success_tokens,token_winner_harness,token_winner_variant,token_winner_job,token_winner_trial,lowest_success_cost_usd,cost_winner_harness,cost_winner_variant,cost_winner_job,cost_winner_trial,fastest_success_seconds,time_winner_harness,time_winner_variant,time_winner_job,time_winner_trial,token_winner_trace_path,token_winner_trace_status,cost_winner_trace_path,cost_winner_trace_status,time_winner_trace_path,time_winner_trace_status
astropy__astropy-14365,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,133,79,21,mini-swe-agent; opencode; subconscious-code,mini-swe-agent 19/67; opencode 1/2; subconscious-code 1/4,266549,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,e611e638d5df,astropy__astropy-14365__5ZDMKcT,0.0606,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,e611e638d5df,astropy__astropy-14365__5ZDMKcT,396.4,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,75919ad94f7b,astropy__astropy-14365__Hadx3w3,swebench-verified-winning-traces/e611e638d5df/astropy__astropy-14365__5ZDMKcT/trajectory.json.gz,downloaded,swebench-verified-winning-traces/e611e638d5df/astropy__astropy-14365__5ZDMKcT/trajectory.json.gz,downloaded,swebench-verified-winning-traces/75919ad94f7b/astropy__astropy-14365__Hadx3w3/trajectory.json.gz,downloaded
astropy__astropy-14369,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,16,14,0,,,,,,,,,,,,,,,,,,,not_selected,,not_selected,,not_selected
astropy__astropy-14508,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,19,12,9,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 2/2; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/4,94456,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14508__39789bc,0.2169,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-14508__ssvjncn,120.2,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14508__39789bc,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14508__39789bc/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-14508__ssvjncn/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14508__39789bc/trajectory.json.gz,downloaded
astropy__astropy-14539,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,22,14,11,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/3; codex 1/1; mini-swe-agent 3/4; opencode 1/1; subconscious-code 4/4,135744,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-14539__632ed04,0.056,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,2d7c8a6540ff,astropy__astropy-14539__nY5TE2Y,93.5,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-14539__632ed04,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-14539__632ed04/trajectory.json.gz,downloaded,swebench-verified-winning-traces/2d7c8a6540ff/astropy__astropy-14539__nY5TE2Y/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-14539__632ed04/trajectory.json.gz,downloaded
astropy__astropy-14598,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,1,codex,codex 1/1,1425497,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,astropy__astropy-14598__wD3Y4gV,,,,,,949.5,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,astropy__astropy-14598__wD3Y4gV,swebench-verified-winning-traces/b1a03feecef5/astropy__astropy-14598__wD3Y4gV/trajectory.json.gz,downloaded,,not_selected,swebench-verified-winning-traces/b1a03feecef5/astropy__astropy-14598__wD3Y4gV/trajectory.json.gz,downloaded
astropy__astropy-14995,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,8,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/3,98208,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14995__m5wBdEP,0.2012,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-14995__KvAPTMd,138.5,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14995__e051a6b,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14995__m5wBdEP/trajectory.json.gz,existing,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-14995__KvAPTMd/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14995__e051a6b/trajectory.json.gz,downloaded
astropy__astropy-7166,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,152,130,110,codex; mini-swe-agent; opencode; subconscious-code,codex 3/3; mini-swe-agent 102/118; opencode 1/1; subconscious-code 4/5,54975,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-7166__6cdc9a2,0.0306,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,f69b852a3a31,astropy__astropy-7166__j8tpfzt,58.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-7166__6cdc9a2,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-7166__6cdc9a2/trajectory.json.gz,downloaded,swebench-verified-winning-traces/f69b852a3a31/astropy__astropy-7166__j8tpfzt/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-7166__6cdc9a2/trajectory.json.gz,downloaded
astropy__astropy-7336,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,8,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/3,59102,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-7336__5e22bac,0.0602,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-7336__EEV2Vse,42.0,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-7336__a7d5589,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-7336__5e22bac/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-7336__EEV2Vse/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-7336__a7d5589/trajectory.json.gz,downloaded
astropy__astropy-7606,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,359,330,0,,,,,,,,,,,,,,,,,,,not_selected,,not_selected,,not_selected
astropy__astropy-7671,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,8,6,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 1/1; codex 1/1; mini-swe-agent 1/2; opencode 1/1; subconscious-code 2/2,257641,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-7671__mjcv6Gn,0.1191,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-7671__FD9ZSB5,159.9,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,astropy__astropy-7671__c3bviV6,swebench-verified-winning-traces/0017241088a1/astropy__astropy-7671__mjcv6Gn/trajectory.json.gz,existing,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-7671__FD9ZSB5/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/astropy__astropy-7671__c3bviV6/trajectory.json.gz,downloaded
astropy__astropy-8707,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,8,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/3,381435,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-8707__f2c742e,0.1625,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-8707__nE7jUn8,84.5,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-8707__f2c742e,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-8707__f2c742e/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-8707__nE7jUn8/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-8707__f2c742e/trajectory.json.gz,downloaded
astropy__astropy-8872,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,6,claude-code; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 2/3,176482,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-8872__gY7Vjmj,0.085,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-8872__c5PXQGN,123.2,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-8872__gY7Vjmj,swebench-verified-winning-traces/0017241088a1/astropy__astropy-8872__gY7Vjmj/trajectory.json.gz,existing,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-8872__c5PXQGN/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/astropy__astropy-8872__gY7Vjmj/trajectory.json.gz,existing
django__django-10097,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,9,9,0,,,,,,,,,,,,,,,,,,,not_selected,,not_selected,,not_selected
django__django-10554,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,12,12,4,claude-code; codex; opencode,claude-code 2/3; codex 1/2; opencode 1/1,3413290,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,django__django-10554__DaTcdZf,47.0128,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-10554__Bih2zzb,548.4,opencode,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,django__django-10554__Q8AR9uq,swebench-verified-winning-traces/b1a03feecef5/django__django-10554__DaTcdZf/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/django__django-10554__Bih2zzb/trajectory.json.gz,downloaded,swebench-verified-winning-traces/c57b386851fd/django__django-10554__Q8AR9uq/trajectory.json.gz,downloaded
django__django-10880,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,8,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/3,72343,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-10880__780ee11,0.154,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-10880__ApJRSVp,55.1,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-10880__780ee11,swebench-verified-winning-traces/187f0c30fc5f/django__django-10880__780ee11/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-10880__ApJRSVp/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-10880__780ee11/trajectory.json.gz,downloaded
django__django-10914,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,134,86,83,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 1/1; mini-swe-agent 75/76; opencode 1/2; pi 1/1; subconscious-code 3/3,139071,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-10914__fPGZqgE,0.0867,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,864828db70f4,django__django-10914__fXnVa5C,82.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-10914__d9688d8,swebench-verified-winning-traces/0017241088a1/django__django-10914__fPGZqgE/trajectory.json.gz,existing,swebench-verified-winning-traces/864828db70f4/django__django-10914__fXnVa5C/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-10914__d9688d8/trajectory.json.gz,downloaded
django__django-10973,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,4,claude-code; codex; opencode; subconscious-code,claude-code 1/2; codex 1/1; opencode 1/1; subconscious-code 1/3,113168,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-10973__c75aa40,0.2817,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,63ca9a349e63,django__django-10973__c9c96ko,69.5,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-10973__c75aa40,swebench-verified-winning-traces/187f0c30fc5f/django__django-10973__c75aa40/trajectory.json.gz,downloaded,swebench-verified-winning-traces/63ca9a349e63/django__django-10973__c9c96ko/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-10973__c75aa40/trajectory.json.gz,downloaded
django__django-10999,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,9,9,2,mini-swe-agent; opencode,mini-swe-agent 1/2; opencode 1/1,1453796,opencode,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,django__django-10999__eKZzbsb,0.3757,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-10999__FpffdWc,448.9,opencode,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,django__django-10999__eKZzbsb,swebench-verified-winning-traces/c57b386851fd/django__django-10999__eKZzbsb/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-10999__FpffdWc/trajectory.json.gz,downloaded,swebench-verified-winning-traces/c57b386851fd/django__django-10999__eKZzbsb/trajectory.json.gz,downloaded
django__django-11066,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,11,11,9,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 4/4,13996,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11066__d82c129,0.1817,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-11066__Z3oEZ5a,34.0,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-11066__bd18ede,swebench-verified-winning-traces/472ee1f9d42c/django__django-11066__d82c129/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-11066__Z3oEZ5a/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-11066__bd18ede/trajectory.json.gz,downloaded
django__django-11087,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,21,13,5,claude-code; codex; opencode; subconscious-code,claude-code 2/3; codex 1/2; opencode 1/1; subconscious-code 1/4,633237,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-11087__KabZBgQ,8.0313,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1970c693b4a5,django__django-11087__25cdf0f,373.3,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1970c693b4a5,django__django-11087__25cdf0f,swebench-verified-winning-traces/0017241088a1/django__django-11087__KabZBgQ/trajectory.json.gz,existing,swebench-verified-winning-traces/1970c693b4a5/django__django-11087__25cdf0f/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1970c693b4a5/django__django-11087__25cdf0f/trajectory.json.gz,downloaded
django__django-11095,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,145,120,116,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/3; codex 2/2; mini-swe-agent 107/109; opencode 2/2; pi 1/1; subconscious-code 3/3,70993,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,63518ecf1697,django__django-11095__iSDgQhi,0.0316,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,2e6788f03bbf,django__django-11095__vs5682d,92.8,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11095__d0ab53f,swebench-verified-winning-traces/63518ecf1697/django__django-11095__iSDgQhi/trajectory.json.gz,downloaded,swebench-verified-winning-traces/2e6788f03bbf/django__django-11095__vs5682d/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-11095__d0ab53f/trajectory.json.gz,downloaded
django__django-11099,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,25,23,21,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 2/2; mini-swe-agent 11/12; opencode 1/1; pi 1/1; subconscious-code 4/4,15413,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11099__c167565,0.0147,mini-swe-agent,mini-swe-agent | openai/subconscious/tim-qwen3.6-27b | e2b | python,7685d364d232,django__django-11099__5a4703f,44.1,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11099__c167565,swebench-verified-winning-traces/472ee1f9d42c/django__django-11099__c167565/trajectory.json.gz,downloaded,swebench-verified-winning-traces/7685d364d232/django__django-11099__5a4703f/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-11099__c167565/trajectory.json.gz,downloaded
django__django-11119,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,9,9,8,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 2/2,28613,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11119__19938ca,0.0736,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-11119__5T8Bb9L,57.8,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-11119__19938ca,swebench-verified-winning-traces/472ee1f9d42c/django__django-11119__19938ca/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-11119__5T8Bb9L/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-11119__19938ca/trajectory.json.gz,downloaded
